,image,species,individual_id
0,00021adfb725ed.jpg,0,0
1,000562241d384d.jpg,1,1
2,0007c33415ce37.jpg,2,2
3,0007d9bca26a99.jpg,3,3
4,00087baf5cef7a.jpg,1,4
5,000a8f2d5c316a.jpg,3,5
6,000be9acf46619.jpg,4,6
7,000bef247c7a42.jpg,1,7
8,000c3d63069748.jpg,4,8
9,000c476c11bad5.jpg,3,9
10,001001f099519f.jpg,5,10
11,00103cbe9d25ce.jpg,6,11
12,00144776eb476d.jpg,3,5
13,00167e8375c967.jpg,4,12
14,00177f3c614d1e.jpg,3,13
15,0017b3749cd769.jpg,3,14
16,0018064338b499.jpg,7,15
17,001b0900f56e89.jpg,1,16
18,001cfade605960.jpg,7,17
19,001f1a1f22da96.jpg,5,18
20,0020004d64ae20.jpg,8,19
21,00206a224e68de.jpg,7,20
22,0022bdb8eb5684.jpg,1,21
23,00234b893ea9e8.jpg,2,22
24,0024057bbc89a4.jpg,5,23
25,00243d4b15bafc.jpg,4,24
26,002618d6f63ebc.jpg,9,25
27,0028f6fa123686.jpg,3,26
28,0029d877c29ab4.jpg,0,27
29,002ac5f9ad7c10.jpg,2,28
30,002e00960cec44.jpg,10,29
31,002fb5fee50b97.jpg,1,30
32,0030835e895969.jpg,11,31
33,0032f90c7732b0.jpg,0,32
34,00354cd9244e28.jpg,4,33
35,0036b5c11b39f3.jpg,12,34
36,0038d3be2513c0.jpg,7,35
37,0039599b58fc80.jpg,3,36
38,00398cfc6f6675.jpg,4,37
39,0039955230421d.jpg,4,38
40,003ab41b6147f4.jpg,4,39
41,003e374b59c0e1.jpg,13,40
42,003ffd805a5910.jpg,0,41
43,00405189464f9d.jpg,1,42
44,004132b34ded14.jpg,1,43
45,0042dfc65c7987.jpg,4,44
46,0044ec4ae5ecfd.jpg,11,45
47,0044fb81b4f1c7.jpg,1,46
48,0046ceef89b3fc.jpg,5,47
49,004797c1c43563.jpg,2,48
50,0049b56a584eb1.jpg,3,36
51,004a0038d162d9.jpg,4,49
52,004a7fef39cf16.jpg,1,50
53,004a923b0b401e.jpg,5,51
54,004efe00a3e100.jpg,7,52
55,005135ee15df6c.jpg,3,53
56,005248b53efb3c.jpg,1,54
57,0053d003390997.jpg,8,55
58,00549928dca501.jpg,1,56
59,005a9cc627a55d.jpg,14,57
60,005b72434149fa.jpg,13,58
61,005e317de9a658.jpg,7,59
62,005e53b1b6aada.jpg,5,47
63,005f85f23464f8.jpg,1,60
64,006033d6691cef.jpg,7,61
65,006077a8e080fa.jpg,1,62
66,00621ef445e09f.jpg,3,63
67,00647f8ff9f243.jpg,15,64
68,00665aba3c163b.jpg,1,65
69,0067205f90977d.jpg,0,66
70,006b2548d360a6.jpg,4,67
71,006cc681396f71.jpg,15,68
72,006f1f7c9ea3c2.jpg,3,13
73,006fc52f81ab7d.jpg,3,69
74,007003e07cb9fd.jpg,1,70
75,007097146016e6.jpg,16,71
76,0070b4e405cd8d.jpg,3,72
77,0074ad8c5e4a13.jpg,3,73
78,00756614506440.jpg,7,74
79,0076826dae9092.jpg,7,75
80,007784cb6d6631.jpg,0,76
81,0079009e883e38.jpg,2,77
82,00790eab417e06.jpg,4,78
83,007991a750a4f2.jpg,3,79
84,007b91c88a2da3.jpg,3,80
85,0081186855e29a.jpg,4,81
86,00813a03e678c3.jpg,3,82
87,00835b2e9aa162.jpg,8,83
88,0086e36dfb15fd.jpg,1,84
89,008705d384b02a.jpg,11,85
90,00870a2b4f5f60.jpg,17,86
91,008b4760ade506.jpg,0,87
92,008bb028b196d8.jpg,7,88
93,008c5d3fc215ac.jpg,1,89
94,008dd551cef1d8.jpg,3,90
95,008f60577b4f60.jpg,16,91
96,00931cfd50f2b0.jpg,11,92
97,009379360f0987.jpg,6,93
98,00958b624f455c.jpg,4,94
99,009642068626f9.jpg,18,95
100,00967c436ea86f.jpg,4,96
101,009a307f9f483c.jpg,16,97
102,009b6593ccc800.jpg,5,98
103,009c968192535f.jpg,8,99
104,009d3abcd8d794.jpg,7,100
105,009e1a16460b26.jpg,4,94
106,00a198105cdc24.jpg,1,101
107,00a3449831cb17.jpg,13,102
108,00a4745e7218c4.jpg,3,103
109,00a5f0c7e639ce.jpg,7,104
110,00aa710486d3b5.jpg,3,90
111,00ab71e582117c.jpg,16,105
112,00ac4935ad83b4.jpg,1,106
113,00afe60388a560.jpg,11,107
114,00afe7b25dc241.jpg,1,108
115,00b0f5aa111833.jpg,13,109
116,00b3bf2c51d511.jpg,2,110
117,00b71c50bb2be4.jpg,4,111
118,00b773df4a863d.jpg,1,112
119,00b7e608440f77.jpg,3,13
120,00bd3260725f0c.jpg,13,113
121,00be328933f508.jpg,7,114
122,00bf58d0f7b4c1.jpg,4,115
123,00c0135a96f085.jpg,16,116
124,00c021e7dc6da2.jpg,6,117
125,00c0bf276875e0.jpg,2,118
126,00c4c5832c0c78.jpg,3,119
127,00cb904cf19b86.jpg,3,120
128,00ce336ef6b8b5.jpg,1,21
129,00cf2ccfae0f7e.jpg,13,121
130,00cf7a68a89a6d.jpg,1,122
131,00d0927689a7a2.jpg,1,123
132,00d0f38d99c221.jpg,3,124
133,00d113413a1d49.jpg,4,125
134,00d57842379951.jpg,7,126
135,00d6a347b07263.jpg,16,127
136,00db5ec9e46a3d.jpg,12,128
137,00de478885ca7c.jpg,0,129
138,00e130666ba6e6.jpg,1,130
139,00e3258f41806c.jpg,3,131
140,00e4b6642f7f5a.jpg,2,132
141,00e67227918b41.jpg,3,133
142,00e6b936f02c6e.jpg,7,134
143,00e828b22fe365.jpg,4,135
144,00e82b4e0691e1.jpg,3,136
145,00e9136ab88016.jpg,11,137
146,00eb3441343226.jpg,4,138
147,00eb689c10db84.jpg,19,139
148,00eb80dafb4fda.jpg,4,140
149,00eea1a5b9d8bc.jpg,16,141
150,00efc65d9f69ee.jpg,1,142
151,00f0f055d749fa.jpg,3,143
152,00f266025063e7.jpg,3,144
153,00f286edc2e6bb.jpg,1,145
154,00f32804ed5fb3.jpg,2,146
155,00f3e4528e819e.jpg,6,11
156,00f45997b905c3.jpg,13,147
157,00f5b73aa72279.jpg,1,148
158,00f6d88f12dcf8.jpg,1,149
159,00f7ab6adcb2dd.jpg,3,150
160,00f9b3f53e440e.jpg,20,151
161,00f9c62840d4d0.jpg,20,152
162,00fa44f35d843b.jpg,1,153
163,00fa57e4793b90.jpg,1,154
164,00fa70fb2c3673.jpg,1,155
165,00fb7dd2e41765.jpg,3,156
166,00fd2ba8c057e3.jpg,3,157
167,00fdcc59386b20.jpg,3,9
168,00fe0f599a58cd.jpg,13,158
169,01007d63ca94b1.jpg,10,159
170,010134d3eeb07e.jpg,12,160
171,0103735160dd47.jpg,6,161
172,0104ac335f66f9.jpg,9,162
173,0104c0fd90132f.jpg,13,163
174,0106d276033b78.jpg,5,47
175,01086bfef670be.jpg,2,164
176,0108abfde9a987.jpg,6,165
177,01091adf08fe11.jpg,3,82
178,010c211438b04b.jpg,8,166
179,010cb3070c237e.jpg,3,167
180,010cc9eff49810.jpg,4,168
181,010d5ad0f83ae5.jpg,6,169
182,010e82a9b3c737.jpg,1,170
183,010fcbf54ae273.jpg,3,171
184,010feffc934b3d.jpg,4,6
185,0111bce383805b.jpg,13,172
186,0111e5b7996776.jpg,21,173
187,0112262f4d1f65.jpg,1,174
188,01124319d84eda.jpg,4,175
189,01127023ed6443.jpg,0,176
190,01128c0e26a1b8.jpg,1,177
191,01130df8d2d82b.jpg,1,178
192,0113b8b3ee71e6.jpg,8,19
193,0119fc31d81817.jpg,4,179
194,011b0bb16bb223.jpg,13,180
195,011c2171176e57.jpg,1,181
196,011d24b8b00f84.jpg,3,182
197,011f36f5e0b772.jpg,3,183
198,01205db44cf1e4.jpg,2,184
199,01241e2d4a6abd.jpg,3,185
200,01287e826d29a8.jpg,16,186
201,012b8b46cfdf1c.jpg,6,187
202,012c710965bd74.jpg,3,188
203,0130886c5f63bb.jpg,7,189
204,01308e45bf22d3.jpg,11,190
205,01351200256f2c.jpg,3,191
206,0135e7c19d415c.jpg,4,192
207,0136f516926d6a.jpg,18,193
208,013a9437efc47d.jpg,4,6
209,013b98eeda7a81.jpg,4,194
210,013bc2c2a594a1.jpg,4,195
211,013cdf45f229eb.jpg,2,196
212,013cfccddd6768.jpg,8,197
213,0141b6f29e9a00.jpg,7,198
214,014214dc22a0ed.jpg,1,199
215,01428cdcab4d66.jpg,16,200
216,0143b99b22f2c1.jpg,4,201
217,014431c21c6a98.jpg,3,202
218,014677910446f1.jpg,16,203
219,014699bde284ee.jpg,1,204
220,01478f3794e3d7.jpg,3,205
221,0147d65f4229c6.jpg,0,206
222,01485c37a6aba7.jpg,13,207
223,0148a269e843c6.jpg,4,208
224,01492ef72f6b48.jpg,3,209
225,014a0116965ca3.jpg,7,210
226,014ba64e8ce8ec.jpg,5,47
227,014c8f2bee256e.jpg,4,211
228,014d58ae6a59b4.jpg,0,212
229,014dc3fa335192.jpg,1,213
230,014f6d1c690aff.jpg,0,214
231,01504a17d6a680.jpg,11,215
232,0150fe50e01694.jpg,13,216
233,0151559debca5b.jpg,1,217
234,01528459216ab1.jpg,4,194
235,0152e03282b76f.jpg,1,218
236,015526265ab976.jpg,2,219
237,01558f02f65136.jpg,4,220
238,01569010785472.jpg,1,221
239,0156ae7b1a45dc.jpg,13,222
240,01593ab001b56a.jpg,3,223
241,015997f3ce892c.jpg,13,224
242,015af1c1c4ba43.jpg,7,225
243,015b9c7df6b33a.jpg,11,137
244,015e210d90a490.jpg,7,226
